iab_id,company_id,first_added,last_modified,gid
138,288960,2018-06-14,2018-06-14,3962
158,288951,2018-06-14,2018-06-14,4011
157,288971,2018-06-14,2018-06-14,4015
136,288912,2018-06-14,2018-06-14,1830
159,288925,2018-06-14,2018-06-14,1283
154,288982,2018-06-14,2018-06-14,4045
168,196194,2018-06-14,2018-06-14,2185
149,260214,2018-06-14,2018-06-14,2311
18,184948,2018-06-14,2018-06-14,2395
132,286523,2018-06-14,2018-06-14,2686
72,195479,2018-06-14,2018-06-14,3998
147,208923,2018-06-14,2018-06-14,2297
156,156973,2018-06-14,2018-06-14,2135
265,287789,2018-06-14,2019-05-06,3050
14,259024,2018-06-14,2018-06-14,2088
226,183589,2018-06-14,2019-05-06,2070
78,209074,2018-06-14,2018-06-14,2226
126,169044,2018-06-14,2018-06-14,2234
92,288937,2018-06-14,2018-06-14,3937
84,288897,2018-06-14,2018-06-14,2711
88,288923,2018-06-14,2018-06-14,4034
155,288966,2018-06-14,2018-06-14,3768
163,288980,2018-06-14,2018-06-14,3953
133,288975,2018-06-14,2018-06-14,3963
140,188760,2018-06-14,2018-06-14,2045
195,177814,2018-06-14,2018-06-14,3201
183,288989,2018-06-14,2018-06-14,3966
175,288994,2018-06-14,2018-06-14,3969
194,288956,2018-06-14,2018-06-14,3601
180,209313,2018-06-14,2018-06-14,2832
197,172364,2018-06-14,2018-06-14,2596
58,169651,2018-06-14,2018-06-14,3086
225,22362,2018-06-14,2018-06-14,2590
198,288914,2018-06-14,2018-06-14,4024
200,288915,2018-06-14,2018-06-14,4026
179,288920,2018-06-14,2018-06-14,3958
190,288928,2018-06-14,2018-06-14,4037
142,184160,2018-06-14,2018-06-14,4050
205,288953,2018-06-14,2018-06-14,2614
209,180658,2018-06-14,2018-06-14,2531
210,128415,2018-06-14,2018-06-14,2322
217,174998,2018-06-14,2018-06-14,2570
115,177070,2018-06-14,2018-06-14,2702
90,169544,2018-06-14,2018-06-14,2795
160,215520,2018-06-14,2018-06-14,3999
52,139869,2018-06-14,2018-06-14,1512
87,290435,2018-06-14,2019-05-30,3970
169,286570,2018-06-14,2018-06-14,1821
170,119105,2018-06-14,2018-06-14,2556
162,172303,2018-06-14,2018-06-14,2244
125,290336,2018-06-14,2019-05-14,2744
254,209143,2018-06-14,2018-06-14,2084
202,290339,2018-06-14,2019-05-14,1543
174,288963,2018-06-14,2018-06-14,3938
167,288973,2018-06-14,2018-06-14,3951
193,209163,2018-06-14,2018-06-14,2131
182,288935,2018-06-14,2018-06-14,4052
224,288950,2018-06-14,2018-06-14,3773
229,288981,2018-06-14,2018-06-14,1883
213,260743,2018-06-14,2018-06-14,2656
232,254944,2018-06-14,2018-06-14,2457
258,288944,2018-06-14,2018-06-14,2299
256,177214,2018-06-14,2018-06-14,2235
241,288930,2018-06-14,2018-06-14,3597
255,163852,2018-06-14,2018-06-14,4002
269,276949,2018-06-14,2018-06-14,1608
246,288906,2018-06-14,2018-06-14,4022
244,288919,2018-06-14,2018-06-14,3981
276,288932,2018-06-14,2018-06-14,4039
185,209050,2018-06-14,2018-06-14,2498
208,209299,2018-06-14,2018-06-14,2697
192,209218,2018-06-14,2018-06-14,2836
240,256360,2018-06-14,2018-06-14,2651
273,209184,2018-06-14,2018-06-14,4051
34,290436,2018-06-14,2019-05-30,3599
245,140269,2018-06-14,2018-06-14,3974
65,290423,2018-06-14,2019-05-30,3984
260,86875,2018-06-14,2018-06-14,1437
165,286576,2018-06-14,2018-06-14,1463
315,172325,2018-06-14,2018-06-14,2505
253,169637,2018-06-14,2018-06-14,1563
177,262445,2018-06-14,2018-06-14,2613
278,169358,2018-06-14,2018-06-14,2310
161,201860,2018-06-14,2018-06-14,2143
201,288922,2018-06-14,2018-06-14,4031
237,253068,2018-06-14,2018-06-14,1860
228,209159,2018-06-14,2018-06-14,2712
291,288938,2018-06-14,2018-06-14,4054
259,288961,2018-06-14,2018-06-14,3947
257,288964,2018-06-14,2018-06-14,4009
299,198310,2018-06-14,2018-06-14,3089
289,288913,2018-06-14,2018-06-14,3994
280,288910,2018-06-14,2018-06-14,3595
277,251546,2018-06-14,2018-06-14,2032
317,207711,2018-06-14,2018-06-14,1575
316,177817,2018-06-14,2018-06-14,2333
134,186922,2018-06-14,2018-06-14,2482
236,207855,2018-06-14,2018-06-14,2608
295,138605,2018-06-14,2018-06-14,2481
150,186929,2018-06-14,2018-06-14,3223
230,143072,2018-06-14,2018-06-14,2692
325,209126,2018-06-14,2018-06-14,3105
47,203666,2018-06-14,2018-06-14,3942
285,169646,2018-06-14,2018-06-14,2794
248,264826,2018-06-14,2018-06-14,3777
239,254883,2018-06-14,2018-06-14,4035
262,281368,2018-06-14,2018-06-14,2265
3,172156,2018-06-14,2018-06-14,2905
333,198046,2018-06-14,2018-06-14,2183
64,193977,2018-06-14,2018-06-14,2263
31,290297,2018-06-14,2019-05-06,3503
359,200712,2018-06-14,2018-06-14,1850
284,170951,2018-06-14,2018-06-14,2339
354,260473,2018-06-14,2018-06-14,3214
320,206823,2018-06-14,2018-06-14,2061
238,176625,2018-06-14,2018-06-14,3697
143,271086,2018-06-14,2018-06-14,3885
119,209225,2018-06-14,2018-06-14,2120
266,288970,2018-06-14,2018-06-14,2389
270,288903,2018-06-14,2018-06-14,3989
297,203433,2018-06-14,2018-06-14,3036
290,288947,2018-06-14,2018-06-14,4010
308,209221,2018-06-14,2018-06-14,3385
310,287199,2018-06-14,2018-06-14,1753
44,174934,2018-06-14,2018-06-14,3255
282,288974,2018-06-14,2018-06-14,4042
281,288979,2018-06-14,2018-06-14,2383
349,286577,2018-06-14,2018-06-14,2103
339,288411,2018-06-14,2018-06-14,2780
309,136343,2018-06-14,2018-06-14,2427
319,206802,2018-06-14,2018-06-14,2874
288,260567,2018-06-14,2018-06-14,3184
301,288431,2018-06-14,2018-06-14,3473
331,174968,2018-06-14,2018-06-14,3876
302,209169,2018-06-14,2018-06-14,3995
212,209058,2018-06-14,2018-06-14,2673
311,286565,2018-06-14,2018-06-14,2837
231,132475,2018-06-14,2018-06-14,1944
369,209090,2018-06-14,2018-06-14,1951
104,175442,2018-06-14,2018-06-14,2132
388,177209,2018-06-14,2018-06-14,2633
312,209068,2018-06-14,2018-06-14,2840
83,288936,2018-06-14,2018-06-14,4040
152,174665,2018-06-14,2018-06-14,2766
206,288986,2018-06-14,2018-06-14,2214
216,288911,2018-06-14,2018-06-14,3991
250,193481,2018-06-14,2018-06-14,4007
251,197116,2018-06-14,2018-06-14,4044
358,209149,2018-06-14,2018-06-14,2885
303,288934,2018-06-14,2018-06-14,4003
347,262300,2018-06-14,2018-06-14,3968
344,288917,2018-06-14,2018-06-14,2225
377,288942,2018-06-14,2018-06-14,3941
378,288941,2018-06-14,2018-06-14,3959
387,208961,2018-06-14,2018-06-14,3536
384,172372,2018-06-14,2018-06-14,2342
382,288946,2018-06-14,2018-06-14,4029
360,288556,2018-06-14,2018-06-14,3622
371,262279,2018-06-14,2018-06-14,4013
368,288926,2018-06-14,2018-06-14,3690
380,288931,2018-06-14,2018-06-14,4038
178,175332,2018-06-14,2018-06-14,2347
184,209161,2018-06-14,2018-06-14,2777
223,258431,2018-06-14,2018-06-14,3949
214,186709,2018-06-14,2018-06-14,3430
361,288556,2018-06-14,2018-06-14,3622
351,172550,2018-06-14,2018-06-14,2718
32,123708,2018-06-14,2018-06-14,1711
321,1250,2018-06-14,2018-06-14,2653
405,290296,2018-06-14,2019-05-06,3973
345,253543,2018-06-14,2019-05-06,4028
141,288990,2018-06-14,2019-05-30,4047
376,209204,2018-06-14,2018-06-14,1991
426,290345,2018-06-14,2019-05-15,4032
171,288959,2018-06-14,2018-06-14,4041
263,180751,2018-06-14,2018-06-14,2223
287,143563,2018-06-14,2018-06-14,1910
337,288900,2018-06-14,2018-06-14,4021
389,175872,2018-06-14,2018-06-14,3094
394,288968,2018-06-14,2018-06-14,3950
404,288987,2018-06-14,2018-06-14,3965
390,285637,2018-06-14,2018-06-14,3603
391,288972,2018-06-14,2018-06-14,2213
398,288985,2018-06-14,2018-06-14,4046
422,288904,2018-06-14,2018-06-14,3954
243,277613,2018-06-14,2018-06-14,2628
416,288939,2018-06-14,2018-06-14,3960
434,184150,2018-06-14,2018-06-14,2245
442,288940,2018-06-14,2018-06-14,4008
415,288897,2018-06-14,2018-06-14,4016
242,203688,2018-06-14,2018-06-14,3251
57,279551,2018-06-14,2018-06-14,1578
435,288905,2018-06-14,2018-06-14,4019
409,184263,2018-06-14,2018-06-14,2360
188,177343,2018-06-14,2018-06-14,2731
403,209175,2018-06-14,2018-06-14,3728
